,Headlines,Date
209,Loan moratorium: Centre asks banks to foot 'interest on interest' bill. Private lender DCB purchases 9% stake in NBFC Techfino Capital. ,2021-04-21
210,"A brief look at REPCO, the latest universal bank licence candidate. DBS to buy 13% stake in privately-held Chinese lender for $814 million. Father of banking reforms': Ex-RBI governor M Narasimham passes away at 94. ",2021-04-20
211,Bank FDs in spotlight as returns of liquid funds hit two-decade low. A hale and hearty banking sector but.... ,2021-04-18
212,"Morgan Stanley profit blows past estimates, flags $900-mn loss on Archegos. ",2021-04-16
213,"Q4 results preview: Quick economic recovery to aid banks' profits. Citigroup to exit retail banking operations in India, 12 other countries. Citigroup announces retail business exit from India, 12 other countries. Covid-19: Bank unions request finance ministry for steps to protect bankers. SBI refunds charges deducted from basic savings bank deposit accounts. ",2021-04-15
214,"State Bank of India's latest target: Rs 4-trn SME loan book by March 2024. Remain watchful of evolving situation, push credit flows: RBI Guv to banks. ",2021-04-12
215,"Privatisation of two public sector banks on meeting agenda next week. Hike in deposit limit: Payment banks likely to attract bigger clients. Second Covid-19 wave heightens risks for Indian banks, says Fitch. One-fourth of bank loans in FY21 given in last fortnight of year: RBI data. ",2021-04-09
216,"Monetary policy: Soon, you can withdraw cash from digital wallets. Payments banks can now hold max balance of Rs 2 lakh per customer. Dhanlaxmi Bank gross advances up over 4% by March; deposits rise over 7%. ",2021-04-08
217,"Bankers hail RBI's dovish policy, welcome G-SAP, TLTRO, PSL measures. Bharti AXA Life, Fincare SFB join hands for bancassurance partnership. ",2021-04-07
218,"Banks turn RBI's hot-money decision into lucrative trade strategy. Pay Rs 79-cr GST dues to operate bank accounts, HC tells ByteDance. ",2021-04-06
219,"Banks sanctions Rs 25,586 cr to 114,322 Stand-Up India accounts in 5 years. IndusInd Bank: With the balance sheet stabilising, focus shifts to growth. ",2021-04-04
220,"Individual loan business continues to improve in January-March: HDFC. Private lender Yes Bank targets startup sector, ties-up with GVFL. ",2021-04-03
